Age,DB,1stPlan,2ndPlan,3rdPlan,4thPlan,5thPlan,WP0,WP1,WP2,WP3,WP4,CIB,ADB,
20,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
21,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
22,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
23,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
24,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
25,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
26,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
27,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
28,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
29,1000000,275,0,0,0,0,0,0,0,0,0,0,0,
30,1000000,1815,0,0,0,0,0,0,0,0,0,0,0,
31,1000000,1815,0,0,0,0,0,0,0,0,0,0,0,
32,1000000,1845,0,0,0,0,0,0,0,0,0,0,0,
33,1000000,1875,0,0,0,0,0,0,0,0,0,0,0,
34,1000000,1935,0,0,0,0,0,0,0,0,0,0,0,
35,1000000,2025,0,0,0,0,0,0,0,0,0,0,0,
36,1000000,2115,0,0,0,0,0,0,0,0,0,0,0,
37,1000000,2205,0,0,0,0,0,0,0,0,0,0,0,
38,1000000,2355,0,0,0,0,0,0,0,0,0,0,0,
39,1000000,2505,0,0,0,0,0,0,0,0,0,0,0,
40,1000000,2655,0,0,0,0,0,0,0,0,0,0,0,
41,1000000,2865,0,0,0,0,0,0,0,0,0,0,0,
42,1000000,3135,0,0,0,0,0,0,0,0,0,0,0,
43,1000000,3405,0,0,0,0,0,0,0,0,0,0,0,
44,1000000,3735,0,0,0,0,0,0,0,0,0,0,0,
45,1000000,4125,0,0,0,0,0,0,0,0,0,0,0,
46,1000000,4455,0,0,0,0,0,0,0,0,0,0,0,
47,1000000,4875,0,0,0,0,0,0,0,0,0,0,0,
48,1000000,5115,0,0,0,0,0,0,0,0,0,0,0,
49,1000000,5535,0,0,0,0,0,0,0,0,0,0,0,
50,1000000,5925,0,0,0,0,0,0,0,0,0,0,0,
51,1000000,6525,0,0,0,0,0,0,0,0,0,0,0,
52,1000000,7365,0,0,0,0,0,0,0,0,0,0,0,
53,1000000,8235,0,0,0,0,0,0,0,0,0,0,0,
54,1000000,9345,0,0,0,0,0,0,0,0,0,0,0,
55,1000000,10725,0,0,0,0,0,0,0,0,0,0,0,
56,1000000,12165,0,0,0,0,0,0,0,0,0,0,0,
57,1000000,13815,0,0,0,0,0,0,0,0,0,0,0,
58,1000000,15315,0,0,0,0,0,0,0,0,0,0,0,
59,1000000,17025,0,0,0,0,0,0,0,0,0,0,0,
60,1000000,18705,0,0,0,0,0,0,0,0,0,0,0,
61,1000000,20775,0,0,0,0,0,0,0,0,0,0,0,
62,1000000,23265,0,0,0,0,0,0,0,0,0,0,0,
63,1000000,26085,0,0,0,0,0,0,0,0,0,0,0,
64,1000000,29025,0,0,0,0,0,0,0,0,0,0,0,
65,1000000,32145,0,0,0,0,0,0,0,0,0,0,0,
66,1000000,35295,0,0,0,0,0,0,0,0,0,0,0,
67,1000000,38505,0,0,0,0,0,0,0,0,0,0,0,
68,1000000,41985,0,0,0,0,0,0,0,0,0,0,0,
69,1000000,45555,0,0,0,0,0,0,0,0,0,0,0,
70,1000000,49875,0,0,0,0,0,0,0,0,0,0,0,
71,1000000,54735,0,0,0,0,0,0,0,0,0,0,0,
72,1000000,61095,0,0,0,0,0,0,0,0,0,0,0,
73,1000000,67785,0,0,0,0,0,0,0,0,0,0,0,
74,1000000,74835,0,0,0,0,0,0,0,0,0,0,0,
75,1000000,82545,0,0,0,0,0,0,0,0,0,0,0,
76,1000000,93015,0,0,0,0,0,0,0,0,0,0,0,
77,1000000,105255,0,0,0,0,0,0,0,0,0,0,0,
78,1000000,119655,0,0,0,0,0,0,0,0,0,0,0,
79,1000000,136515,0,0,0,0,0,0,0,0,0,0,0,
80,1000000,155355,0,0,0,0,0,0,0,0,0,0,0,
81,1000000,177105,0,0,0,0,0,0,0,0,0,0,0,
82,1000000,200385,0,0,0,0,0,0,0,0,0,0,0,
83,1000000,226035,0,0,0,0,0,0,0,0,0,0,0,
84,1000000,254955,0,0,0,0,0,0,0,0,0,0,0,
85,1000000,287685,0,0,0,0,0,0,0,0,0,0,0,
86,1000000,324645,0,0,0,0,0,0,0,0,0,0,0,
87,1000000,365715,0,0,0,0,0,0,0,0,0,0,0,
88,1000000,410655,0,0,0,0,0,0,0,0,0,0,0,
89,1000000,459135,0,0,0,0,0,0,0,0,0,0,0,
90,1000000,510975,0,0,0,0,0,0,0,0,0,0,0,
91,1000000,561675,0,0,0,0,0,0,0,0,0,0,0,
92,1000000,615645,0,0,0,0,0,0,0,0,0,0,0,
93,1000000,673515,0,0,0,0,0,0,0,0,0,0,0,
94,1000000,735585,0,0,0,0,0,0,0,0,0,0,0,
