AGE1 - 20
AGEORDOB1 - Age
APPLYING_FOR_TERM - False
CLIENT_NAME1 - A
COMPANY - 1
DISCOUNT_OPTION - None
DOB1 - 10/4/1973 12:00:00 AM
FACE_AMOUNT - 1000000
FLAT_AMOUNT1 - 0
FLAT_TYPE1 - Temporary
FLAT_YEARS1 - 0
FLATEXTRA_PERM1 - 0
HAS_RATING1 - False
INT_PREM_AMOUNT - 2000
IS_ABC_BILLING - False
m_IPDintnProductId - 701
MODAL_PREMIUM - 0
PARTNER_CODE - AGFN
PREM_MODE - Annual
PRINT_ART_RATES - False
PROD_ID - 701
QOL_ADVANTAGE.COUNT - 0
QOL_FLATEXTRA_PERM - 0
QOL_FLATEXTRA_TEMP - 0
QOL_FLATEXTRA_TEMP_YEARS - 0
RATE_VERSION_INDICATOR - D
RIDER1.ON - True
RIDER14.AMOUNT - 50000
RIDER14.ON - False
RIDER14.RATING - None
RIDER22.END_AGE - 65
RIDER22.ON - False
RIDER22.RATING - None
RIDER36.END_AGE - 65
RIDER36.ON - False
RIDER36.UNITS - 25
RIDER45.END_AGE - 60
RIDER45.ON - False
RIDER45.RATING - None
RIDER46.END_AGE - 65
RIDER46.ON - False
RIDER46.UNITS - 10
RIDER6.AMOUNT - 50000
RIDER6.ON - False
RIDER6.RATING - None
RIDER74.ON - True
RIDER75.ON - True
SAME_UL_OWNER - False
SEX1 - Male
SOLVE_TYPE - PremiumAmount
STATE - TX
SUBPRODUCTS.COUNT - 1
SUBPRODUCTS.ITEM0 - Year10
TABLE_RATING1 - None
UND_CLASS1 - PreferredPlus
WINFLEX_COMPANY_CODE - AGFN
WINFLEX_COMPANY_NAME - AGFN - Testing
YEARS_TO_PRINT - 75
